범죄별,검거단서별,2016 년,2017 년,2018 년,2019 년,2020 년
합계,현행범,144508,120745,99386,87093,67099
합계,피해자신고,489374,476766,464272,489041,475063
합계,고소,210767,196981,211890,213458,210319
합계,고발,58917,56751,56821,56086,49212
합계,자수,15898,15334,15264,13514,13905
합계,민간체포,355,281,231,311,251
합계,진정투서,84453,82823,89341,98354,106349
합계,타인신고,112226,110525,120497,126321,133367
합계,신문,4150,4307,3491,3118,2834
합계,불심검문,225983,177363,103302,79981,59552
합계,탐문정보,79795,72259,60879,58558,49967
합계,안면식별,300,237,292,256,183
합계,감식자료,831,799,539,772,441
합계,변사체,551,587,601,520,470
합계,범죄수법,775,818,599,554,373
합계,발자국,77,29,23,13,6
합계,검사지휘,1862,1513,2241,2390,3234
합계,타기관에서 이송,3143,982,1270,1702,1425
합계,범행도구등 발견,250,344,161,164,136
합계,장물,751,1031,697,402,336
합계,전과조회,137,75,82,122,111
합계,기타,256267,236413,234527,247174,224795
형법범,현행범,121151,103277,83047,72385,55662
형법범,피해자신고,277470,286056,293534,320321,314183
형법범,고소,183721,173442,187343,188374,184773
형법범,고발,3886,4183,4738,5423,5893
형법범,자수,1386,1436,1544,1526,1752
형법범,민간체포,310,252,208,280,231
형법범,진정투서,70549,69227,75128,83032,91231
형법범,타인신고,22582,22499,25454,27926,25571
형법범,신문,798,662,638,862,699
형법범,불심검문,2125,1767,1288,1053,932
형법범,탐문정보,46696,37922,33807,33335,33377
형법범,안면식별,276,227,282,245,172
형법범,감식자료,759,744,503,518,397
형법범,변사체,515,526,551,477,442
형법범,범죄수법,700,757,523,499,270
형법범,발자국,72,27,22,10,4
형법범,검사지휘,1111,954,1517,1678,2476
형법범,타기관에서 이송,334,333,386,607,519
형법범,범행도구등 발견,184,272,115,108,87
형법범,장물,746,1019,695,401,336
형법범,전과조회,109,47,57,83,89
형법범,기타,53798,47274,46542,52254,48646
재산범죄,계,389937,370121,382437,414793,422267
재산범죄,현행범,23460,20931,18359,17320,14556
재산범죄,피해자신고,114981,120588,125812,143438,148808
재산범죄,고소,111509,100950,106186,107189,105477
재산범죄,고발,1919,2227,2407,2761,3145
재산범죄,자수,857,966,976,900,1156
재산범죄,민간체포,224,182,147,155,181
재산범죄,진정투서,65797,64638,71038,79285,86947
재산범죄,타인신고,4661,3957,4027,5063,4362
재산범죄,신문,588,458,473,671,552
재산범죄,불심검문,1388,1009,843,637,631
재산범죄,탐문정보,32182,27248,25221,25217,25956
재산범죄,안면식별,226,204,267,226,154
재산범죄,감식자료,633,636,395,438,334
재산범죄,변사체,13,21,24,20,49
재산범죄,범죄수법,636,695,481,462,241
재산범죄,발자국,69,27,21,8,2
재산범죄,검사지휘,664,478,836,891,1594
재산범죄,타기관에서 이송,203,186,200,399,338
재산범죄,범행도구등 발견,113,178,68,84,56
재산범죄,장물,745,1017,694,401,336
재산범죄,전과조회,100,37,47,73,81
재산범죄,기타,28969,23488,23915,29155,27311
절도,계,119010,114263,107208,114203,111656
절도,현행범,7386,6484,5313,5242,4653
절도,피해자신고,71284,73830,70606,76223,75585
절도,고소,2531,2468,2578,2904,3028
절도,고발,51,46,73,73,92
절도,자수,415,520,489,460,433
절도,민간체포,208,158,138,136,155
절도,진정투서,582,533,551,566,672
절도,타인신고,1808,1980,1702,1866,1901
절도,신문,453,388,318,402,307
절도,불심검문,925,695,528,432,445
절도,탐문정보,21288,17801,15983,16598,15887
절도,안면식별,198,168,216,189,115
절도,감식자료,534,515,298,298,184
절도,변사체,7,4,4,6,3
절도,범죄수법,579,652,453,406,190
절도,발자국,68,24,18,6,1
절도,검사지휘,34,32,45,36,40
절도,타기관에서 이송,81,84,72,62,60
절도,범행도구등 발견,80,147,46,68,39
절도,장물,417,703,457,269,227
절도,전과조회,20,14,19,21,21
절도,기타,10061,7017,7301,7940,7618
장물,계,2117,1910,928,890,587
장물,현행범,54,22,8,68,4
장물,피해자신고,315,240,143,159,113
장물,고소,60,48,52,48,54
장물,고발,2,0,0,1,3
장물,자수,2,1,4,2,1
장물,민간체포,2,0,0,0,1
장물,진정투서,5,4,5,6,5
장물,타인신고,31,38,33,86,15
장물,신문,8,6,9,1,0
장물,불심검문,47,11,11,5,4
장물,탐문정보,894,945,306,192,166
장물,안면식별,0,0,1,0,0
장물,감식자료,0,0,0,0,0
장물,변사체,0,0,0,0,0
장물,범죄수법,0,1,0,0,0
장물,발자국,0,0,0,0,0
장물,검사지휘,4,0,6,2,4
장물,타기관에서 이송,1,1,2,2,1
장물,범행도구등 발견,0,3,0,0,0
장물,장물,197,190,107,63,64
장물,전과조회,0,0,0,0,0
장물,기타,495,400,241,255,152
사기,현행범,7801,7248,6981,6688,5763
사기,피해자신고,19088,20459,26773,34978,39549
사기,고소,88196,79924,84168,85372,83940
사기,고발,798,1135,1040,1337,1513
사기,자수,242,251,266,194,459
사기,민간체포,6,14,5,14,20
사기,진정투서,63780,62773,69393,77221,85116
사기,타인신고,1567,738,807,1472,751
사기,신문,84,30,116,244,223
사기,불심검문,263,157,184,119,104
사기,탐문정보,6875,5000,5037,5014,6070
사기,안면식별,5,10,23,17,16
사기,감식자료,54,77,70,109,109
사기,변사체,6,16,18,10,43
사기,범죄수법,49,31,23,45,43
사기,발자국,0,1,1,2,0
사기,검사지휘,512,370,648,695,1314
사기,타기관에서 이송,101,80,103,312,252
사기,범행도구등 발견,26,9,2,6,6
사기,장물,3,5,3,0,2
사기,전과조회,76,20,24,51,57
사기,기타,13704,11912,12242,16712,15783
횡령,현행범,337,270,274,299,248
횡령,피해자신고,6171,7165,8209,9177,9886
횡령,고소,14525,12645,12804,12568,12197
횡령,고발,690,654,795,833,872
횡령,자수,91,99,101,99,120
횡령,민간체포,3,3,2,0,3
횡령,진정투서,992,875,643,619,680
횡령,타인신고,360,337,362,314,348
횡령,신문,18,16,19,8,9
횡령,불심검문,134,129,109,74,60
횡령,탐문정보,1988,2365,2722,2178,2486
횡령,안면식별,13,11,16,12,11
횡령,감식자료,5,6,2,8,22
횡령,변사체,0,0,1,2,2
횡령,범죄수법,3,8,5,4,6
횡령,발자국,0,0,0,0,0
횡령,검사지휘,77,45,81,85,153
횡령,타기관에서 이송,14,13,16,16,20
횡령,범행도구등 발견,6,14,14,6,6
횡령,장물,128,118,127,69,43
횡령,전과조회,3,2,3,1,2
횡령,기타,2365,2297,2205,2264,1846
배임,현행범,3,2,0,0,2
배임,피해자신고,24,23,13,16,20
배임,고소,3018,2696,3254,2946,2799
배임,고발,304,320,444,448,572
배임,자수,3,1,1,7,3
배임,민간체포,0,0,0,0,0
배임,진정투서,59,53,53,511,33
배임,타인신고,6,7,11,7,6
배임,신문,8,9,2,6,0
배임,불심검문,1,3,1,0,0
배임,탐문정보,208,184,129,100,71
배임,안면식별,0,0,0,0,0
배임,감식자료,0,0,0,0,0
배임,변사체,0,0,0,0,0
배임,범죄수법,0,1,0,0,0
배임,발자국,0,0,0,0,0
배임,검사지휘,18,15,31,38,41
배임,타기관에서 이송,1,4,1,2,3
배임,범행도구등 발견,0,0,0,0,0
배임,장물,0,1,0,0,0
배임,전과조회,0,0,0,0,0
배임,기타,1372,998,956,924,674
손괴,현행범,7879,6905,5783,5023,3886
손괴,피해자신고,18099,18871,20068,22885,23655
손괴,고소,3179,3169,3330,3351,3459
손괴,고발,74,72,55,69,93
손괴,자수,104,94,115,138,140
손괴,민간체포,5,7,2,5,2
손괴,진정투서,379,400,393,362,441
손괴,타인신고,889,857,1112,1318,1341
손괴,신문,17,9,9,10,13
손괴,불심검문,18,14,10,7,18
손괴,탐문정보,929,953,1044,1135,1276
손괴,안면식별,10,15,11,8,12
손괴,감식자료,40,38,25,23,19
손괴,변사체,0,1,1,2,1
손괴,범죄수법,5,2,0,7,2
손괴,발자국,1,2,2,0,1
손괴,검사지휘,19,16,25,35,42
손괴,타기관에서 이송,5,4,6,5,2
손괴,범행도구등 발견,1,5,6,4,5
손괴,장물,0,0,0,0,0
손괴,전과조회,1,1,1,0,1
손괴,기타,972,864,970,1060,1238
강력범죄(흉악),현행범,5784,6130,4215,3412,2257
강력범죄(흉악),피해자신고,14492,16059,15249,15375,13834
강력범죄(흉악),고소,3988,4916,7047,7601,9000
강력범죄(흉악),고발,61,115,155,122,120
강력범죄(흉악),자수,110,97,142,141,120
강력범죄(흉악),민간체포,59,50,45,95,35
강력범죄(흉악),진정투서,343,458,502,496,654
강력범죄(흉악),타인신고,1951,2463,2572,2877,2474
강력범죄(흉악),신문,38,29,14,22,45
강력범죄(흉악),불심검문,244,229,185,232,139
강력범죄(흉악),탐문정보,2730,2142,1421,1009,767
강력범죄(흉악),안면식별,13,8,6,6,3
강력범죄(흉악),감식자료,55,46,55,32,28
강력범죄(흉악),변사체,94,79,87,96,77
강력범죄(흉악),범죄수법,16,3,11,25,17
강력범죄(흉악),발자국,0,0,0,1,2
강력범죄(흉악),검사지휘,37,33,96,78,79
강력범죄(흉악),타기관에서 이송,7,26,15,31,25
강력범죄(흉악),범행도구등 발견,55,72,38,12,15
강력범죄(흉악),장물,0,0,0,0,0
강력범죄(흉악),전과조회,0,1,1,0,1
강력범죄(흉악),기타,1591,1695,1838,1774,1498
살인,현행범,264,251,232,202,176
살인,피해자신고,128,139,110,104,125
살인,고소,37,35,55,62,51
살인,고발,1,1,7,5,8
살인,자수,41,36,35,35,36
살인,민간체포,1,1,2,1,0
살인,진정투서,1,1,0,3,0
살인,타인신고,205,199,182,194,165
살인,신문,1,3,2,1,0
살인,불심검문,1,2,2,3,0
살인,탐문정보,68,41,40,35,22
살인,안면식별,1,0,2,2,0
살인,감식자료,0,1,0,0,2
살인,변사체,76,62,68,80,64
살인,범죄수법,0,0,0,0,0
살인,발자국,0,0,0,1,1
살인,검사지휘,2,2,3,3,1
살인,타기관에서 이송,0,0,2,0,0
살인,범행도구등 발견,7,2,2,1,6
살인,장물,0,0,0,0,0
살인,전과조회,0,0,0,0,0
살인,기타,102,71,64,91,90
강도,현행범,157,144,108,84,74
강도,피해자신고,588,488,434,408,332
강도,고소,38,40,38,45,61
강도,고발,1,1,0,1,2
강도,자수,6,6,6,2,4
강도,민간체포,3,0,2,1,4
강도,진정투서,3,2,2,5,10
강도,타인신고,59,44,27,39,31
강도,신문,2,1,4,1,9
강도,불심검문,7,1,2,7,3
강도,탐문정보,205,172,132,123,93
강도,안면식별,2,0,2,2,1
강도,감식자료,19,13,8,5,5
강도,변사체,5,5,3,7,3
강도,범죄수법,3,1,2,13,0
강도,발자국,0,0,0,0,0
강도,검사지휘,2,0,0,3,0
강도,타기관에서 이송,1,1,2,1,0
강도,범행도구등 발견,6,1,1,0,0
강도,장물,0,0,0,0,0
강도,전과조회,0,0,0,0,0
강도,기타,88,73,57,96,41
방화,현행범,442,382,433,388,314
방화,피해자신고,468,430,452,392,409
방화,고소,10,10,10,12,11
방화,고발,0,0,3,3,0
방화,자수,19,16,28,25,12
방화,민간체포,1,0,1,2,1
방화,진정투서,1,0,2,1,3
방화,타인신고,211,217,227,238,216
방화,신문,3,4,1,2,0
방화,불심검문,3,3,1,2,5
방화,탐문정보,71,81,72,74,46
방화,안면식별,6,3,1,0,0
방화,감식자료,3,4,2,4,5
방화,변사체,4,5,4,5,6
방화,범죄수법,0,0,2,2,3
방화,발자국,0,0,0,0,0
방화,검사지휘,1,0,0,0,1
방화,타기관에서 이송,0,3,2,0,0
방화,범행도구등 발견,1,3,3,1,1
방화,장물,0,0,0,0,0
방화,전과조회,0,0,0,0,0
방화,기타,96,65,106,70,62
성폭력,현행범,4921,5353,3442,2738,1693
성폭력,피해자신고,13308,15002,14253,14471,12968
성폭력,고소,3903,4831,6944,7482,8877
성폭력,고발,59,113,145,113,110
성폭력,자수,44,39,73,79,68
성폭력,민간체포,54,49,40,91,30
성폭력,진정투서,338,455,498,487,641
성폭력,타인신고,1476,2003,2136,2406,2062
성폭력,신문,32,21,7,18,36
성폭력,불심검문,233,223,180,220,131
성폭력,탐문정보,2386,1848,1177,777,606
성폭력,안면식별,4,5,1,2,2
성폭력,감식자료,33,28,45,23,16
성폭력,변사체,9,7,12,4,4
성폭력,범죄수법,13,2,7,10,14
성폭력,발자국,0,0,0,0,1
성폭력,검사지휘,32,31,93,72,77
성폭력,타기관에서 이송,6,22,9,30,25
성폭력,범행도구등 발견,41,66,32,10,8
성폭력,장물,0,0,0,0,0
성폭력,전과조회,0,1,1,0,1
성폭력,기타,1305,1486,1611,1517,1305
강력범죄(폭력),현행범,61733,49974,37400,30481,20724
강력범죄(폭력),피해자신고,131081,131788,133340,138777,127599
강력범죄(폭력),고소,22512,22160,24713,23852,23113
강력범죄(폭력),고발,132,115,153,157,202
강력범죄(폭력),자수,243,217,302,319,311
강력범죄(폭력),민간체포,6,7,7,15,5
강력범죄(폭력),진정투서,1931,2040,1841,1635,1862
강력범죄(폭력),타인신고,10325,10392,13199,14006,12949
강력범죄(폭력),신문,61,48,43,40,40
강력범죄(폭력),불심검문,122,81,49,42,38
강력범죄(폭력),탐문정보,4038,3346,2407,2265,2349
강력범죄(폭력),안면식별,13,12,3,7,10
강력범죄(폭력),감식자료,25,24,16,12,7
강력범죄(폭력),변사체,39,38,41,45,40
강력범죄(폭력),범죄수법,2,19,14,2,0
강력범죄(폭력),발자국,1,0,0,0,0
강력범죄(폭력),검사지휘,109,128,159,193,185
강력범죄(폭력),타기관에서 이송,55,61,81,77,58
강력범죄(폭력),범행도구등 발견,3,8,1,5,5
강력범죄(폭력),장물,0,0,1,0,0
강력범죄(폭력),전과조회,3,6,3,6,4
강력범죄(폭력),기타,7397,6581,7079,7723,7888
폭행,현행범,47724,39100,28811,22722,14920
폭행,피해자신고,93998,96363,100598,103987,94981
폭행,고소,8175,8930,10793,10682,10135
폭행,고발,38,44,48,68,79
폭행,자수,117,130,179,207,186
폭행,민간체포,3,6,5,6,3
폭행,진정투서,764,880,897,723,846
폭행,타인신고,6525,6643,9025,9342,8682
폭행,신문,41,36,26,27,28
폭행,불심검문,56,31,21,16,12
폭행,탐문정보,1323,1226,1154,1095,1273
폭행,안면식별,5,8,1,2,4
폭행,감식자료,13,15,11,8,4
폭행,변사체,22,18,27,25,24
폭행,범죄수법,1,1,0,0,0
폭행,발자국,0,0,0,0,0
폭행,검사지휘,28,41,53,78,63
폭행,타기관에서 이송,27,30,48,40,34
폭행,범행도구등 발견,1,1,0,2,0
폭행,장물,0,0,1,0,0
폭행,전과조회,2,2,2,4,3
폭행,기타,4504,3944,4469,4768,4997
상해,현행범,10141,7634,5513,4508,3185
상해,피해자신고,27379,25285,22224,21195,19201
상해,고소,9891,8899,8591,7451,6865
상해,고발,33,26,34,25,33
상해,자수,97,65,98,81,94
상해,민간체포,2,1,1,4,2
상해,진정투서,603,516,424,318,322
상해,타인신고,3260,3116,3453,3655,3282
상해,신문,15,8,9,7,7
상해,불심검문,44,29,11,4,9
상해,탐문정보,1043,803,559,492,445
상해,안면식별,6,2,1,0,1
상해,감식자료,5,3,2,3,1
상해,변사체,16,20,12,19,13
상해,범죄수법,0,1,1,0,0
상해,발자국,1,0,0,0,0
상해,검사지휘,35,39,53,49,44
상해,타기관에서 이송,15,21,24,21,13
상해,범행도구등 발견,0,2,1,1,4
상해,장물,0,0,0,0,0
상해,전과조회,1,3,0,2,0
상해,기타,1674,1558,1436,1440,1461
협박,현행범,3284,2746,2748,2951,2375
협박,피해자신고,7426,7727,8355,11154,11233
협박,고소,3012,2925,3712,3943,4267
협박,고발,18,16,27,22,26
협박,자수,21,14,19,20,21
협박,민간체포,1,0,1,2,0
협박,진정투서,334,317,291,289,347
협박,타인신고,318,358,466,715,746
협박,신문,2,2,1,4,4
협박,불심검문,13,16,16,20,15
협박,탐문정보,382,281,195,182,180
협박,안면식별,0,0,0,0,0
협박,감식자료,2,0,0,0,1
협박,변사체,1,0,1,1,2
협박,범죄수법,0,0,1,0,0
협박,발자국,0,0,0,0,0
협박,검사지휘,22,26,33,44,38
협박,타기관에서 이송,8,4,7,5,8
협박,범행도구등 발견,2,4,0,2,1
협박,장물,0,0,0,0,0
협박,전과조회,0,0,1,0,0
협박,기타,650,627,696,917,990
공갈,현행범,183,103,68,76,43
공갈,피해자신고,1223,1189,1121,1206,1028
공갈,고소,838,866,1071,1191,1131
공갈,고발,23,18,23,14,37
공갈,자수,2,4,1,3,2
공갈,민간체포,0,0,0,0,0
공갈,진정투서,195,303,194,280,317
공갈,타인신고,47,80,59,80,67
공갈,신문,2,2,4,0,0
공갈,불심검문,5,3,0,2,2
공갈,탐문정보,1093,867,356,371,373
공갈,안면식별,1,1,0,1,3
공갈,감식자료,1,4,0,0,0
공갈,변사체,0,0,1,0,1
공갈,범죄수법,1,17,12,2,0
공갈,발자국,0,0,0,0,0
공갈,검사지휘,17,8,13,19,25
공갈,타기관에서 이송,3,4,1,8,2
공갈,범행도구등 발견,0,1,0,0,0
공갈,장물,0,0,0,0,0
공갈,전과조회,0,1,0,0,1
공갈,기타,373,277,308,401,252
약취와유인,현행범,20,15,12,10,6
약취와유인,피해자신고,73,82,72,95,71
약취와유인,고소,34,46,32,57,55
약취와유인,고발,1,1,3,1,4
약취와유인,자수,1,0,1,1,0
약취와유인,민간체포,0,0,0,0,0
약취와유인,진정투서,1,4,2,0,2
약취와유인,타인신고,14,24,20,33,32
약취와유인,신문,0,0,0,0,0
약취와유인,불심검문,1,0,0,0,0
약취와유인,탐문정보,19,9,17,13,5
약취와유인,안면식별,1,0,0,0,0
약취와유인,감식자료,0,0,0,0,0
약취와유인,변사체,0,0,0,0,0
약취와유인,범죄수법,0,0,0,0,0
약취와유인,발자국,0,0,0,0,0
약취와유인,검사지휘,0,1,0,1,1
약취와유인,타기관에서 이송,1,0,0,1,0
약취와유인,범행도구등 발견,0,0,0,0,0
약취와유인,장물,0,0,0,0,0
약취와유인,전과조회,0,0,0,0,0
약취와유인,기타,27,17,15,20,19
체포와감금,현행범,251,277,187,157,138
체포와감금,피해자신고,615,754,617,705,603
체포와감금,고소,319,286,294,276,351
체포와감금,고발,15,7,15,16,9
체포와감금,자수,2,1,1,1,1
체포와감금,민간체포,0,0,0,0,0
체포와감금,진정투서,17,7,17,13,13
체포와감금,타인신고,136,152,139,149,117
체포와감금,신문,1,0,1,0,0
체포와감금,불심검문,1,2,1,0,0
체포와감금,탐문정보,43,49,33,27,20
체포와감금,안면식별,0,0,0,0,1
체포와감금,감식자료,0,0,0,0,0
체포와감금,변사체,0,0,0,0,0
체포와감금,범죄수법,0,0,0,0,0
체포와감금,발자국,0,0,0,0,0
체포와감금,검사지휘,5,10,3,2,9
체포와감금,타기관에서 이송,1,1,1,1,0
체포와감금,범행도구등 발견,0,0,0,0,0
체포와감금,장물,0,0,0,0,0
체포와감금,전과조회,0,0,0,0,0
체포와감금,기타,76,97,78,107,93
"폭력행위등(손괴,강요,주거침입등)",현행범,105,92,47,51,54
"폭력행위등(손괴,강요,주거침입등)",피해자신고,323,373,322,401,455
"폭력행위등(손괴,강요,주거침입등)",고소,234,202,211,231,294
"폭력행위등(손괴,강요,주거침입등)",고발,4,3,3,10,14
"폭력행위등(손괴,강요,주거침입등)",자수,3,1,0,2,0
"폭력행위등(손괴,강요,주거침입등)",민간체포,0,0,0,3,0
"폭력행위등(손괴,강요,주거침입등)",진정투서,15,13,15,12,14
"폭력행위등(손괴,강요,주거침입등)",타인신고,19,14,25,22,20
"폭력행위등(손괴,강요,주거침입등)",신문,0,0,1,0,1
"폭력행위등(손괴,강요,주거침입등)",불심검문,1,0,0,0,0
"폭력행위등(손괴,강요,주거침입등)",탐문정보,52,38,30,25,15
"폭력행위등(손괴,강요,주거침입등)",안면식별,0,1,0,2,1
"폭력행위등(손괴,강요,주거침입등)",감식자료,4,2,2,1,1
"폭력행위등(손괴,강요,주거침입등)",변사체,0,0,0,0,0
"폭력행위등(손괴,강요,주거침입등)",범죄수법,0,0,0,0,0
"폭력행위등(손괴,강요,주거침입등)",발자국,0,0,0,0,0
"폭력행위등(손괴,강요,주거침입등)",검사지휘,2,3,4,0,4
"폭력행위등(손괴,강요,주거침입등)",타기관에서 이송,0,1,0,0,0
"폭력행위등(손괴,강요,주거침입등)",범행도구등 발견,0,0,0,0,0
"폭력행위등(손괴,강요,주거침입등)",장물,0,0,0,0,0
"폭력행위등(손괴,강요,주거침입등)",전과조회,0,0,0,0,0
"폭력행위등(손괴,강요,주거침입등)",기타,73,40,51,50,44
폭력행위등(단체등의구성·활동),현행범,25,7,14,6,3
폭력행위등(단체등의구성·활동),피해자신고,44,15,31,34,27
폭력행위등(단체등의구성·활동),고소,9,6,9,21,15
폭력행위등(단체등의구성·활동),고발,0,0,0,1,0
폭력행위등(단체등의구성·활동),자수,0,2,3,4,7
폭력행위등(단체등의구성·활동),민간체포,0,0,0,0,0
폭력행위등(단체등의구성·활동),진정투서,2,0,1,0,1
폭력행위등(단체등의구성·활동),타인신고,6,5,12,10,3
폭력행위등(단체등의구성·활동),신문,0,0,1,2,0
폭력행위등(단체등의구성·활동),불심검문,1,0,0,0,0
폭력행위등(단체등의구성·활동),탐문정보,83,73,63,60,38
폭력행위등(단체등의구성·활동),안면식별,0,0,1,2,0
폭력행위등(단체등의구성·활동),감식자료,0,0,1,0,0
폭력행위등(단체등의구성·활동),변사체,0,0,0,0,0
폭력행위등(단체등의구성·활동),범죄수법,0,0,0,0,0
폭력행위등(단체등의구성·활동),발자국,0,0,0,0,0
폭력행위등(단체등의구성·활동),검사지휘,0,0,0,0,1
폭력행위등(단체등의구성·활동),타기관에서 이송,0,0,0,1,1
폭력행위등(단체등의구성·활동),범행도구등 발견,0,0,0,0,0
폭력행위등(단체등의구성·활동),장물,0,0,0,0,0
폭력행위등(단체등의구성·활동),전과조회,0,0,0,0,0
폭력행위등(단체등의구성·활동),기타,20,21,26,20,32
위조범죄,현행범,248,173,121,115,64
위조범죄,피해자신고,359,565,336,288,265
위조범죄,고소,6749,5986,6005,6138,5881
위조범죄,고발,1011,921,1003,1115,1088
위조범죄,자수,20,12,15,17,20
위조범죄,민간체포,2,2,0,1,0
위조범죄,진정투서,1142,752,624,557,530
위조범죄,타인신고,896,958,786,796,731
위조범죄,신문,36,35,25,41,27
위조범죄,불심검문,235,343,147,92,87
위조범죄,탐문정보,326,1213,1457,372,150
위조범죄,안면식별,0,0,0,1,0
위조범죄,감식자료,2,2,4,3,0
위조범죄,변사체,0,0,0,0,0
위조범죄,범죄수법,24,29,6,8,5
위조범죄,발자국,0,0,0,0,0
위조범죄,검사지휘,46,41,71,71,92
위조범죄,타기관에서 이송,13,17,14,23,21
위조범죄,범행도구등 발견,4,5,2,0,0
위조범죄,장물,0,0,0,0,0
위조범죄,전과조회,3,1,0,2,1
위조범죄,기타,2962,3434,3456,3328,2658
통화,현행범,6,9,3,3,1
통화,피해자신고,46,313,88,46,17
통화,고소,0,2,0,1,0
통화,고발,8,7,7,1,1
통화,자수,2,0,0,2,0
통화,민간체포,0,0,0,0,0
통화,진정투서,3,10,9,3,6
통화,타인신고,18,31,31,15,30
통화,신문,0,0,1,0,0
통화,불심검문,0,2,0,4,0
통화,탐문정보,21,8,2,18,1
통화,안면식별,0,0,0,0,0
통화,감식자료,1,0,1,0,0
통화,변사체,0,0,0,0,0
통화,범죄수법,0,1,0,1,1
통화,발자국,0,0,0,0,0
통화,검사지휘,0,0,0,2,0
통화,타기관에서 이송,0,0,0,0,0
통화,범행도구등 발견,0,0,0,0,0
통화,장물,0,0,0,0,0
통화,전과조회,0,0,0,0,0
통화,기타,18,150,17,48,8
유가증권·인지·우표,현행범,1,4,3,0,1
유가증권·인지·우표,피해자신고,5,15,17,11,12
유가증권·인지·우표,고소,145,129,68,71,41
유가증권·인지·우표,고발,8,6,42,2,6
유가증권·인지·우표,자수,0,0,0,0,0
유가증권·인지·우표,민간체포,0,1,0,0,0
유가증권·인지·우표,진정투서,2,3,0,1,0
유가증권·인지·우표,타인신고,5,4,4,5,3
유가증권·인지·우표,신문,0,0,0,0,0
유가증권·인지·우표,불심검문,0,0,0,0,0
유가증권·인지·우표,탐문정보,6,6,6,5,1
유가증권·인지·우표,안면식별,0,0,0,0,0
유가증권·인지·우표,감식자료,0,1,0,1,0
유가증권·인지·우표,변사체,0,0,0,0,0
유가증권·인지·우표,범죄수법,7,0,0,0,0
유가증권·인지·우표,발자국,0,0,0,0,0
유가증권·인지·우표,검사지휘,1,0,1,0,0
유가증권·인지·우표,타기관에서 이송,0,0,0,0,0
유가증권·인지·우표,범행도구등 발견,0,0,0,0,0
유가증권·인지·우표,장물,0,0,0,0,0
유가증권·인지·우표,전과조회,0,0,0,0,0
유가증권·인지·우표,기타,61,57,44,45,19
문서,현행범,174,115,85,82,49
문서,피해자신고,294,227,227,216,226
문서,고소,6531,5760,5847,5959,5731
문서,고발,956,872,936,1091,1055
문서,자수,17,12,13,14,17
문서,민간체포,2,1,0,1,0
문서,진정투서,1115,725,601,539,507
문서,타인신고,825,714,704,715,636
문서,신문,29,34,23,38,26
문서,불심검문,82,55,21,33,16
문서,탐문정보,275,1182,812,337,135
문서,안면식별,0,0,0,1,0
문서,감식자료,0,1,2,2,0
문서,변사체,0,0,0,0,0
문서,범죄수법,17,28,6,7,4
문서,발자국,0,0,0,0,0
문서,검사지휘,42,40,69,68,90
문서,타기관에서 이송,13,17,13,23,20
문서,범행도구등 발견,1,4,2,0,0
문서,장물,0,0,0,0,0
문서,전과조회,2,0,0,2,1
문서,기타,2656,3023,3239,3108,2523
인장,현행범,67,45,30,30,13
인장,피해자신고,14,10,4,15,10
인장,고소,73,95,90,107,109
인장,고발,39,36,18,21,26
인장,자수,1,0,2,1,3
인장,민간체포,0,0,0,0,0
인장,진정투서,22,14,14,14,17
인장,타인신고,48,209,47,61,62
인장,신문,7,1,1,3,1
인장,불심검문,153,286,126,55,71
인장,탐문정보,24,17,637,12,13
인장,안면식별,0,0,0,0,0
인장,감식자료,1,0,1,0,0
인장,변사체,0,0,0,0,0
인장,범죄수법,0,0,0,0,0
인장,발자국,0,0,0,0,0
인장,검사지휘,3,1,1,1,2
인장,타기관에서 이송,0,0,1,0,1
인장,범행도구등 발견,3,1,0,0,0
인장,장물,0,0,0,0,0
인장,전과조회,1,1,0,0,0
인장,기타,227,204,156,127,108
공무원범죄,현행범,20,18,3,0,5
공무원범죄,피해자신고,8,8,10,17,19
공무원범죄,고소,483,492,571,577,518
공무원범죄,고발,150,162,228,247,305
공무원범죄,자수,3,1,2,2,2
공무원범죄,민간체포,1,0,0,1,0
공무원범죄,진정투서,31,41,47,37,75
공무원범죄,타인신고,5,4,5,11,23
공무원범죄,신문,3,9,4,17,0
공무원범죄,불심검문,0,1,0,1,0
공무원범죄,탐문정보,237,231,248,198,102
공무원범죄,안면식별,0,0,0,0,0
공무원범죄,감식자료,0,1,0,0,0
공무원범죄,변사체,0,0,0,0,0
공무원범죄,범죄수법,13,0,0,0,0
공무원범죄,발자국,0,0,0,0,0
공무원범죄,검사지휘,10,25,12,28,14
공무원범죄,타기관에서 이송,6,5,11,5,8
공무원범죄,범행도구등 발견,0,0,0,0,0
공무원범죄,장물,0,0,0,0,0
공무원범죄,전과조회,0,0,0,0,0
공무원범죄,기타,1287,1562,1505,1284,959
직무유기,현행범,1,1,1,0,0
직무유기,피해자신고,2,2,3,3,8
직무유기,고소,218,201,267,246,200
직무유기,고발,86,89,99,102,154
직무유기,자수,0,0,1,0,0
직무유기,민간체포,0,0,0,0,0
직무유기,진정투서,10,11,7,9,7
직무유기,타인신고,0,1,0,1,3
직무유기,신문,0,0,0,4,0
직무유기,불심검문,0,0,0,0,0
직무유기,탐문정보,42,11,29,24,9
직무유기,안면식별,0,0,0,0,0
직무유기,감식자료,0,1,0,0,0
직무유기,변사체,0,0,0,0,0
직무유기,범죄수법,0,0,0,0,0
